"occupation_id","direct_task_pressure","indirect_dependency_pressure","function_exposure_pressure","retained_function_strength","retained_accountability_strength","retained_bargaining_power","role_fragmentation_risk","role_compressibility","demand_expansion_signal","delegation_likelihood","headcount_displacement_risk","role_transformation_type","confidence","source_mix","notes"
"occ_11_1021_00","0.4521","0.1587","0.3714","0.6717","0.6385","0.6328","0.2215","0.1939","0.4980","0.4206","0.2747","workflow_recomposition","0.7270","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6506|support_high_pressure=0.0000|routine_high_pressure=0.0830|benchmark_mean=0.4500|function_anchors=2|calibration=reviewed_calibration|operations_ownership_and_resource_decisions_remain_human"
"occ_11_2021_00","0.4320","0.1770","0.3413","0.6075","0.5314","0.5767","0.2380","0.1763","0.5321","0.3973","0.2982","workflow_recomposition","0.7453","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5643|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6447|function_anchors=2"
"occ_11_2022_00","0.3944","0.1790","0.3392","0.6433","0.5944","0.6207","0.2207","0.1810","0.4921","0.3754","0.2857","workflow_recomposition","0.7367","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6353|support_high_pressure=0.0108|routine_high_pressure=0.0605|benchmark_mean=0.6010|function_anchors=2"
"occ_11_3021_00","0.4196","0.2199","0.3466","0.6669","0.6437","0.6252","0.2382","0.1910","0.5579","0.3832","0.2917","workflow_recomposition","0.7419","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.7064|support_high_pressure=0.0587|routine_high_pressure=0.0587|benchmark_mean=0.4600|function_anchors=2"
"occ_11_3031_00","0.4448","0.1550","0.3718","0.6292","0.6416","0.5580","0.2531","0.2441","0.5143","0.3889","0.3136","workflow_recomposition","0.7068","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6825|support_high_pressure=0.1050|routine_high_pressure=0.1456|benchmark_mean=0.4488|function_anchors=2"
"occ_11_3071_00","0.4839","0.1270","0.3961","0.5838","0.5725","0.5301","0.2483","0.2063","0.4139","0.4086","0.3241","workflow_recomposition","0.6820","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5957|support_high_pressure=0.0349|routine_high_pressure=0.0349|benchmark_mean=0.3713|function_anchors=2"
"occ_11_3121_00","0.3901","0.1351","0.3419","0.6848","0.7157","0.6218","0.1848","0.1422","0.4571","0.3458","0.2585","workflow_recomposition","0.7246","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.7628|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.4033|function_anchors=2"
"occ_11_9041_00","0.4222","0.1764","0.3424","0.6633","0.6557","0.5990","0.2098","0.1574","0.4970","0.3673","0.2788","workflow_recomposition","0.7020","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.7140|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.3067|function_anchors=2"
"occ_11_9141_00","0.4044","0.1365","0.3553","0.5952","0.5766","0.5416","0.2334","0.2074","0.4225","0.3744","0.3052","workflow_recomposition","0.6847","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5825|support_high_pressure=0.0352|routine_high_pressure=0.0848|benchmark_mean=0.3490|function_anchors=2"
"occ_13_1023_00","0.4875","0.1740","0.3860","0.6117","0.6074","0.5552","0.2706","0.2752","0.4194","0.4107","0.3451","workflow_recomposition","0.7394","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_task_scoring_2026_03|src_role_function_expansion_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6424|support_high_pressure=0.1012|routine_high_pressure=0.2044|benchmark_mean=0.5222|function_anchors=2"
